チーム,選手名,園田 賢,村上 淳,鈴木 たろう,丸山 奏子,二階堂 亜樹,勝又 健志,松ヶ瀬 隆弥,二階堂 瑠美,内川 幸太郎,岡田 紗佳,沢崎 誠,堀 慎吾,滝沢 和典,佐々木 寿人,高宮 まり,伊達 朱里紗,多井 隆晴,白鳥 翔,松本 吉弘,日向 藍子,魚谷 侑未,近藤 誠一,茅森 早香,東城 りお,萩原 聖人,瀬戸熊 直樹,黒沢 咲,本田 朋広,小林 剛,朝倉 康心,石橋 伸洋,瑞原 明奈
MLeague_stats2021-11-10,試合数,7.0,6.0,6.0,3.0,4.0,6.0,7.0,5.0,4.0,5.0,5.0,8.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,7.0,6.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,7.0,5.0,5.0
MLeague_stats2021-11-10,総局数,78.0,63.0,67.0,29.0,51.0,71.0,75.0,58.0,54.0,51.0,59.0,88.0,70.0,72.0,61.0,56.0,65.0,60.0,65.0,48.0,73.0,70.0,44.0,55.0,76.0,64.0,57.0,59.0,61.0,89.0,55.0,48.0
MLeague_stats2021-11-10,ポイント,64.9,-250.8,40.0,83.2,30.0,233.0,108.4,27.4,-99.8,-53.0,71.7,36.8,45.2,74.9,-38.7,13.9,38.8,-32.6,98.5,-135.7,26.9,-155.5,-45.3,-30.9,-109.7,60.9,-88.9,-37.4,-75.1,75.1,-68.9,92.7
MLeague_stats2021-11-10,平着,2.28,3.33,2.33,1.66,2.25,1.5,2.14,2.4,3.25,2.7,2.2,2.31,2.33,2.33,2.7,2.4,2.33,2.6,2.0,3.2,2.42,3.16,2.75,3.0,3.0,2.33,3.0,2.7,3.0,2.14,2.8,1.8
MLeague_stats2021-11-10,1位,2.0,1.0,3.0,2.0,1.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0
MLeague_stats2021-11-10,2位,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,2.0,4.0
MLeague_stats2021-11-10,3位,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0
MLeague_stats2021-11-10,4位,1.0,4.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0
MLeague_stats2021-11-10,トップ率,0.28,0.16,0.5,0.66,0.25,0.66,0.42,0.4,0.0,0.0,0.4,0.12,0.33,0.5,0.2,0.2,0.33,0.0,0.16,0.0,0.28,0.0,0.25,0.2,0.16,0.33,0.2,0.2,0.2,0.14,0.0,0.2
MLeague_stats2021-11-10,連対率,0.57,0.16,0.5,0.66,0.75,0.83,0.57,0.6,0.25,0.4,0.6,0.62,0.5,0.5,0.2,0.4,0.5,0.4,0.83,0.2,0.42,0.33,0.5,0.4,0.33,0.66,0.2,0.4,0.2,0.71,0.4,1.0
