,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,21.0,245.0,7.3,2.47,5.0,5.0,7.0,4.0,0.23,0.47,0.8,55600.0,5760.78,0.3,0.2,0.2,0.09,5508.69,drivens
村上 淳,16.0,188.0,-289.1,2.81,0.0,6.0,7.0,3.0,0.0,0.37,0.81,30000.0,6036.0,0.19,0.25,0.13,0.09,4861.11,drivens
鈴木 たろう,18.0,246.0,-103.9,2.55,3.0,6.0,5.0,4.0,0.16,0.5,0.77,51600.0,6829.54,0.24,0.17,0.17,0.1,5965.38,drivens
丸山 奏子,9.0,113.0,-271.6,3.22,0.0,2.0,3.0,4.0,0.0,0.22,0.55,46700.0,7815.38,0.18,0.23,0.11,0.1,5900.0,drivens
二階堂 亜樹,16.0,193.0,-8.3,2.62,4.0,3.0,4.0,5.0,0.25,0.43,0.68,59500.0,7052.5,0.15,0.19,0.2,0.09,5657.89,EX
勝又 健志,17.0,205.0,265.3,2.05,6.0,5.0,5.0,1.0,0.35,0.64,0.94,61200.0,5847.05,0.17,0.2,0.24,0.07,6131.25,EX
松ヶ瀬 隆弥,17.0,218.0,180.5,2.17,6.0,6.0,1.0,4.0,0.35,0.7,0.76,51900.0,7635.71,0.19,0.2,0.19,0.09,6185.71,EX
二階堂 瑠美,14.0,160.0,30.2,2.57,6.0,0.0,2.0,6.0,0.42,0.42,0.57,72300.0,7124.24,0.16,0.18,0.2,0.13,6104.54,EX
内川 幸太郎,15.0,201.0,-51.5,2.63,4.0,2.0,5.0,4.0,0.26,0.4,0.73,59600.0,7303.44,0.25,0.23,0.14,0.1,5263.63,sakura
岡田 紗佳,12.0,140.0,-93.3,2.83,3.0,1.0,3.0,5.0,0.25,0.33,0.58,64100.0,7126.92,0.19,0.21,0.18,0.12,3776.47,sakura
堀 慎吾,19.0,231.0,53.3,2.57,6.0,3.0,3.0,7.0,0.31,0.47,0.63,60200.0,6198.21,0.25,0.18,0.24,0.12,5285.71,sakura
渋川 難波,18.0,223.0,-49.0,2.55,4.0,5.0,4.0,5.0,0.22,0.5,0.72,56700.0,7326.31,0.22,0.21,0.17,0.15,3823.52,sakura
滝沢 和典,15.0,188.0,-90.1,2.73,3.0,3.0,4.0,5.0,0.2,0.4,0.66,46200.0,6842.85,0.16,0.22,0.18,0.08,5243.75,konami
佐々木 寿人,17.0,209.0,-69.7,2.58,4.0,4.0,4.0,5.0,0.23,0.47,0.7,49200.0,6180.48,0.21,0.25,0.19,0.11,5521.73,konami
高宮 まり,15.0,176.0,188.6,2.2,5.0,4.0,4.0,2.0,0.33,0.6,0.86,66400.0,7826.31,0.26,0.23,0.21,0.09,6358.82,konami
伊達 朱里紗,17.0,213.0,224.1,2.23,7.0,3.0,3.0,4.0,0.41,0.58,0.76,64300.0,8136.84,0.2,0.19,0.17,0.1,5086.95,konami
多井 隆晴,16.0,204.0,67.2,2.25,4.0,6.0,4.0,2.0,0.25,0.62,0.87,60400.0,5308.0,0.2,0.2,0.24,0.12,5380.76,abemas
